"date","PM2_5.±±¾©"
"2015-01-01",38
"2015-01-02",52
"2015-01-03",150
"2015-01-04",173
"2015-01-05",92
"2015-01-06",37
"2015-01-07",63
"2015-01-08",143
"2015-01-09",79
"2015-01-10",150
"2015-01-11",39
"2015-01-12",123
"2015-01-13",161
"2015-01-14",213
"2015-01-15",335
"2015-01-16",89
"2015-01-17",66
"2015-01-18",70
"2015-01-19",45
"2015-01-20",85
"2015-01-21",20
"2015-01-22",109
"2015-01-23",206
"2015-01-24",88
"2015-01-25",139
"2015-01-26",90
"2015-01-27",19
"2015-01-28",40
"2015-01-29",64
"2015-01-30",13
"2015-01-31",35
"2015-02-01",81
"2015-02-02",140
"2015-02-03",109
"2015-02-04",11
"2015-02-05",31
"2015-02-06",73
"2015-02-07",11
"2015-02-08",29
"2015-02-09",110
"2015-02-10",125
"2015-02-11",39
"2015-02-12",37
"2015-02-13",132
"2015-02-14",242
"2015-02-15",278
"2015-02-16",107
"2015-02-17",25
"2015-02-18",53
"2015-02-19",217
"2015-02-20",140
"2015-02-21",150
"2015-02-22",42
"2015-02-23",61
"2015-02-24",157
"2015-02-25",66
"2015-02-26",13
"2015-02-27",25
"2015-02-28",125
"2015-03-01",48
"2015-03-02",53
"2015-03-03",8
"2015-03-04",28
"2015-03-05",117
"2015-03-06",199
"2015-03-07",225
"2015-03-08",111
"2015-03-09",7
"2015-03-10",35
"2015-03-11",41
"2015-03-12",73
"2015-03-13",66
"2015-03-14",100
"2015-03-15",104
"2015-03-16",215
"2015-03-17",178
"2015-03-18",51
"2015-03-19",85
"2015-03-20",43
"2015-03-21",18
"2015-03-22",22
"2015-03-23",36
"2015-03-24",82
"2015-03-25",122
"2015-03-26",103
"2015-03-27",107
"2015-03-28",63
"2015-03-29",79
"2015-03-30",150
"2015-03-31",126
"2015-04-01",54
"2015-04-02",35
"2015-04-03",30
"2015-04-04",67
"2015-04-05",51
"2015-04-06",22
"2015-04-07",25
"2015-04-08",103
"2015-04-09",167
"2015-04-10",150
"2015-04-11",136
"2015-04-12",13
"2015-04-13",29
"2015-04-14",57
"2015-04-15",111
"2015-04-16",24
"2015-04-17",73
"2015-04-18",127
"2015-04-19",62
"2015-04-20",68
"2015-04-21",59
"2015-04-22",44
"2015-04-23",54
"2015-04-24",54
"2015-04-25",76
"2015-04-26",99
"2015-04-27",81
"2015-04-28",46
"2015-04-29",116
"2015-04-30",118
"2015-05-01",115
"2015-05-02",46
"2015-05-03",37
"2015-05-04",25
"2015-05-05",43
"2015-05-06",20
"2015-05-07",44
"2015-05-08",47
"2015-05-09",36
"2015-05-10",35
"2015-05-11",24
"2015-05-12",22
"2015-05-13",64
"2015-05-14",20
"2015-05-15",25
"2015-05-16",49
"2015-05-17",134
"2015-05-18",50
"2015-05-19",10
"2015-05-20",17
"2015-05-21",35
"2015-05-22",56
"2015-05-23",97
"2015-05-24",114
"2015-05-25",100
"2015-05-26",85
"2015-05-27",95
"2015-05-28",111
"2015-05-29",65
"2015-05-30",56
"2015-05-31",57
"2015-06-01",95
"2015-06-02",27
"2015-06-03",34
"2015-06-04",54
"2015-06-05",51
"2015-06-06",25
"2015-06-07",14
"2015-06-08",20
"2015-06-09",53
"2015-06-10",79
"2015-06-11",20
"2015-06-12",8
"2015-06-13",13
"2015-06-14",21
"2015-06-15",92
"2015-06-16",104
"2015-06-17",42
"2015-06-18",16
"2015-06-19",18
"2015-06-20",22
"2015-06-21",44
"2015-06-22",93
"2015-06-23",186
"2015-06-24",117
"2015-06-25",124
"2015-06-26",102
"2015-06-27",94
"2015-06-28",150
"2015-06-29",112
"2015-06-30",15
"2015-07-01",18
"2015-07-02",9
"2015-07-03",25
"2015-07-04",35
"2015-07-05",63
"2015-07-06",69
"2015-07-07",68
"2015-07-08",124
"2015-07-09",71
"2015-07-10",52
"2015-07-11",105
"2015-07-12",108
"2015-07-13",50
"2015-07-14",36
"2015-07-15",38
"2015-07-16",38
"2015-07-17",39
"2015-07-18",46
"2015-07-19",71
"2015-07-20",89
"2015-07-21",133
"2015-07-22",61
"2015-07-23",45
"2015-07-24",56
"2015-07-25",90
"2015-07-26",104
"2015-07-27",75
"2015-07-28",52
"2015-07-29",86
"2015-07-30",43
"2015-07-31",26
"2015-08-01",68
"2015-08-02",74
"2015-08-03",64
"2015-08-04",20
"2015-08-05",73
"2015-08-06",58
"2015-08-07",90
"2015-08-08",40
"2015-08-09",54
"2015-08-10",42
"2015-08-11",91
"2015-08-12",81
"2015-08-13",120
"2015-08-14",57
"2015-08-15",22
"2015-08-16",38
"2015-08-17",79
"2015-08-18",47
"2015-08-19",51
"2015-08-20",33
"2015-08-21",14
"2015-08-22",17
"2015-08-23",21
"2015-08-24",13
"2015-08-25",14
"2015-08-26",11
"2015-08-27",11
"2015-08-28",16
"2015-08-29",28
"2015-08-30",28
"2015-08-31",25
"2015-09-01",10
"2015-09-02",9
"2015-09-03",15
"2015-09-04",46
"2015-09-05",18
"2015-09-06",17
"2015-09-07",25
"2015-09-08",52
"2015-09-09",32
"2015-09-10",8
"2015-09-11",8
"2015-09-12",9
"2015-09-13",20
"2015-09-14",67
"2015-09-15",106
"2015-09-16",127
"2015-09-17",150
"2015-09-18",74
"2015-09-19",22
"2015-09-20",86
"2015-09-21",101
"2015-09-22",135
"2015-09-23",32
"2015-09-24",97
"2015-09-25",21
"2015-09-26",34
"2015-09-27",48
"2015-09-28",49
"2015-09-29",44
"2015-09-30",29
"2015-10-01",12
"2015-10-02",30
"2015-10-03",29
"2015-10-04",115
"2015-10-05",226
"2015-10-06",297
"2015-10-07",257
"2015-10-08",10
"2015-10-09",15
"2015-10-10",6
"2015-10-11",10
"2015-10-12",18
"2015-10-13",34
"2015-10-14",100
"2015-10-15",109
"2015-10-16",205
"2015-10-17",294
"2015-10-18",46
"2015-10-19",58
"2015-10-20",75
"2015-10-21",51
"2015-10-22",30
"2015-10-23",54
"2015-10-24",55
"2015-10-25",37
"2015-10-26",32
"2015-10-27",16
"2015-10-28",8
"2015-10-29",7
"2015-10-30",25
"2015-10-31",43
"2015-11-01",67
"2015-11-02",78
"2015-11-03",148
"2015-11-04",210
"2015-11-05",110
"2015-11-06",20
"2015-11-07",19
"2015-11-08",60
"2015-11-09",124
"2015-11-10",133
"2015-11-11",105
"2015-11-12",158
"2015-11-13",209
"2015-11-14",276
"2015-11-15",198
"2015-11-16",59
"2015-11-17",60
"2015-11-18",67
"2015-11-19",77
"2015-11-20",65
"2015-11-21",47
"2015-11-22",50
"2015-11-23",26
"2015-11-24",35
"2015-11-25",50
"2015-11-26",36
"2015-11-27",213
"2015-11-28",260
"2015-11-29",251
"2015-11-30",334
"2015-12-01",465
"2015-12-02",12
"2015-12-03",10
"2015-12-04",31
"2015-12-05",50
"2015-12-06",132
"2015-12-07",181
"2015-12-08",246
"2015-12-09",246
"2015-12-10",97
"2015-12-11",49
"2015-12-12",130
"2015-12-13",179
"2015-12-14",157
"2015-12-15",7
"2015-12-16",8
"2015-12-17",62
"2015-12-18",59
"2015-12-19",127
"2015-12-20",199
"2015-12-21",230
"2015-12-22",299
"2015-12-23",261
"2015-12-24",142
"2015-12-25",480
"2015-12-26",265
"2015-12-27",49
"2015-12-28",114
"2015-12-29",279
"2015-12-30",78
"2015-12-31",66
